x,y
114.0,681.0
114.0,675.0
114.0,669.0
114.0,663.0
114.0,657.0
114.0,651.0
114.0,645.0
114.0,639.0
114.0,633.0
114.0,627.0
114.0,621.0
114.0,615.0
114.0,609.0
114.0,603.0
117.0,1182.0
117.0,1176.0
117.0,1170.0
117.0,1164.0
117.0,1158.0
117.0,1152.0
117.0,1146.0
117.0,1140.0
117.0,1098.0
117.0,1092.0
117.0,1086.0
117.0,1080.0
117.0,1074.0
117.0,1068.0
117.0,1044.0
117.0,1038.0
117.0,1032.0
117.0,1026.0
117.0,1020.0
117.0,750.0
117.0,738.0
117.0,732.0
117.0,720.0
117.0,714.0
117.0,708.0
117.0,702.0
117.0,696.0
117.0,690.0
117.0,684.0
117.0,678.0
117.0,672.0
117.0,666.0
117.0,660.0
117.0,654.0
117.0,648.0
117.0,642.0
117.0,636.0
117.0,630.0
117.0,624.0
117.0,618.0
117.0,612.0
117.0,606.0
120.0,1521.0
120.0,1515.0
120.0,1509.0
120.0,1503.0
120.0,1461.0
120.0,1455.0
120.0,1197.0
120.0,1191.0
120.0,1185.0
120.0,1179.0
120.0,1173.0
120.0,1167.0
120.0,1161.0
120.0,1155.0
120.0,1149.0
120.0,1143.0
120.0,1137.0
120.0,1131.0
120.0,1095.0
120.0,1089.0
120.0,1083.0
120.0,1077.0
120.0,1071.0
120.0,1065.0
120.0,1059.0
120.0,1053.0
120.0,1047.0
120.0,1041.0
120.0,1035.0
120.0,1029.0
120.0,909.0
120.0,903.0
120.0,897.0
120.0,891.0
120.0,885.0
120.0,879.0
120.0,747.0
120.0,741.0
120.0,735.0
120.0,729.0
120.0,723.0
120.0,717.0
120.0,711.0
120.0,705.0
120.0,699.0
120.0,693.0
120.0,687.0
120.0,681.0
120.0,675.0
120.0,669.0
120.0,663.0
120.0,657.0
120.0,651.0
120.0,645.0
120.0,639.0
120.0,633.0
120.0,627.0
120.0,621.0
120.0,615.0
123.0,1194.0
123.0,1188.0
123.0,1182.0
123.0,1176.0
123.0,1170.0
123.0,1164.0
123.0,1158.0
123.0,1152.0
123.0,1146.0
123.0,1140.0
123.0,1092.0
123.0,1086.0
123.0,1080.0
123.0,1074.0
123.0,1062.0
123.0,1056.0
123.0,1050.0
123.0,1038.0
123.0,1032.0
123.0,744.0
123.0,732.0
123.0,726.0
123.0,720.0
123.0,714.0
123.0,708.0
123.0,702.0
123.0,696.0
123.0,690.0
123.0,684.0
123.0,678.0
123.0,672.0
123.0,666.0
123.0,660.0
123.0,654.0
123.0,648.0
123.0,642.0
123.0,636.0
123.0,630.0
123.0,624.0
123.0,618.0
123.0,300.0
123.0,294.0
123.0,288.0
123.0,282.0
126.0,1521.0
126.0,1515.0
126.0,1509.0
126.0,1197.0
126.0,1191.0
126.0,1185.0
126.0,1179.0
126.0,1173.0
126.0,1167.0
126.0,1161.0
126.0,1155.0
126.0,1149.0
126.0,1143.0
126.0,1137.0
126.0,1131.0
126.0,1089.0
126.0,1083.0
126.0,1077.0
126.0,1071.0
126.0,1065.0
126.0,1059.0
126.0,1053.0
